@relation matches
@attribute homeodds  real
@attribute drawodds  real
@attribute awayodds  real
@attribute avggoalshome  real
@attribute avggoalsaway  real
@attribute avgsothome  real
@attribute avgsotaway  real
@attribute class {0,1}

@data
'2.3','3.4','3.4',3.000,3.148,9.375,64.125,1
'2.38','3.5','3.1',3.571,2.833,9.286,9.452,1
'2.9','3.3','2.63',2.605,2.837,9.140,8.326,0
'2.8','3.4','2.7',2.833,3.261,9.222,8.537,1
'2.5','3.4','3.0',2.761,2.593,9.065,9.587,1
'3.4','3.5','2.25',3.109,2.611,9.400,8.345,1
'3.2','3.5','2.35',3.019,2.473,8.963,9.907,1
'1.95','3.5','4.33',2.527,2.836,8.418,9.255,1
'2.55','3.5','2.88',2.945,2.982,9.000,9.455,1
'2.8','3.5','2.6',3.018,2.836,8.964,10.891,1
'2.7','3.4','2.8',2.691,2.800,7.927,8.782,0
'2.3','3.4','3.4',2.839,2.946,10.839,9.429,1
'2.88','3.4','2.63',3.300,2.400,9.100,45.700,1
'2.2','3.5','3.5',2.750,2.614,8.886,8.182,1
'2.2','3.5','3.5',2.912,3.273,9.456,1.912,1
'2.2','3.5','3.5',2.912,2.632,8.982,7.860,1
'2.25','3.5','3.4',2.842,2.596,9.263,9.281,1
'2.6','3.4','2.88',2.714,2.789,8.918,9.898,1
'3.0','3.4','2.5',3.245,2.469,9.918,9.020,1
'2.2','3.5','3.5',2.456,2.912,8.088,9.368,1
'3.1','3.5','2.4',2.772,2.895,8.754,8.807,1
'2.25','3.5','3.4',2.579,2.982,8.070,9.316,1
'2.3','3.5','3.3',3.455,2.397,9.545,43.000,1
'3.4','3.5','2.25',3.103,3.000,9.224,9.224,1
'2.7','3.4','2.8',2.772,2.982,9.140,9.140,0
'2.9','3.5','2.55',3.250,2.552,9.917,47.167,1
'2.7','3.5','2.7',2.914,3.200,9.086,8.448,1
'2.25','3.5','3.4',2.983,2.793,9.328,8.534,1
'2.25','3.5','3.4',2.724,2.897,9.293,10.914,1
'2.7','3.5','2.7',2.542,3.333,9.763,1.983,1
'2.05','3.5','4.0',2.390,3.119,8.220,9.186,1
'3.1','3.5','2.4',3.150,2.767,9.183,9.550,1
'2.7','3.4','2.8',2.867,2.712,9.433,8.917,1
'2.8','3.4','2.7',3.214,2.932,9.857,45.857,1
'2.4','3.5','3.1',3.143,2.814,9.643,36.000,1
'3.1','3.5','2.38',2.717,2.661,9.017,8.267,1
'2.3','3.5','3.3',2.764,2.702,8.818,6.982,1
'3.3','3.5','2.3',2.500,2.867,8.867,8.883,1
'2.5','3.4','3.0',2.783,2.833,9.017,8.550,1
'3.2','3.4','2.4',2.950,2.383,9.167,8.217,1
'2.2','3.5','3.5',2.300,3.250,8.083,8.533,1
'3.1','3.3','2.5',2.929,2.650,9.429,35.857,1
'3.25','3.5','2.3',2.820,3.000,9.459,9.311,1
'2.63','3.4','2.88',2.607,2.736,9.295,7.689,1
'2.63','3.5','2.8',2.525,2.902,8.410,9.393,1
'3.25','3.4','2.38',2.492,2.951,8.000,9.148,1
